"Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
20,"A Alba, JM Arranz, F Muñoz-Bullón","Re-employment probabilities of unemployment benefit recipients",2012,"Applied Economics","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/00036846.2011.579067","https://scholar.google.com/scholar?cites=18048093170604344785&as_sdt=2005&sciodt=0,5&hl=en",650,"2022-08-15 21:28:05","","10.1080/00036846.2011.579067",NA,NA,NA,NA,NA,NA,20,2,7,3,10,"… time of exhaustion of benefits. However, this happens only for workers receiving Unemployment Insurance … In particular, the effect of entitlement benefit duration on the hazard rate out of …","https://www.tandfonline.com/doi/pdf/10.1080/00036846.2011.579067","https://scholar.google.com/scholar?q=related:0YUGox21d_oJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
99,"A Barr, S Turner","Out of work and into school: Labor market policies and college enrollment during the Great Recession",2015,"Journal of Public Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272714002552","https://scholar.google.com/scholar?cites=2762075605929279906&as_sdt=2005&sciodt=0,5&hl=en",598,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,99,14.14,50,2,7,"… impact of the length of unemployment insurance duration on the … , using the benefit duration available to individuals at the … We combine employment status and unemployment duration …","","https://scholar.google.com/scholar?q=related:osEvJiHdVCYJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
1,"A Bell, TJ Hedin, P Mannino, R Moghadam…","Estimating the Disparate Cumulative Impact of the Pandemic in Administrative Unemployment Insurance Data",2022,"AEA Papers and …","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/pandp.20221008","https://scholar.google.com/scholar?cites=10271289598398612999&as_sdt=2005&sciodt=0,5&hl=en",194,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,1,1,0,5,1,"… benefit duration well over 26 weeks. In regular economic times, considering mean total UI duration or … 7 It is also the case that not all claimants qualify for the maximum benefit duration, …","",""
98,"A Björklund","Unemployment and income distribution: time-series evidence from Sweden",1991,"The Scandinavian Journal of Economics","JSTOR","https://www.jstor.org/stable/3440187","https://scholar.google.com/scholar?cites=5544843596327457430&as_sdt=2005&sciodt=0,5&hl=en",568,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,98,3.16,98,1,31,"… For a long time, Swedish politicians have been devoted to keeping unemployment at low … Further, the Swedish unemployment insurance system replaces only about 70 per cent of …","","https://scholar.google.com/scholar?q=related:lpIyft8980wJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
17,"A De Serres, F Murtin","Unemployment at risk: the policy determinants of labour market exposure to economic shocks",2014,"Economic Policy","academic.oup.com","https://academic.oup.com/economicpolicy/article-abstract/29/80/603/2918410","https://scholar.google.com/scholar?cites=14830428245485307510&as_sdt=2005&sciodt=0,5&hl=en",983,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,17,2.13,9,2,8,"… duration is calculated as the average replacement rate over a period of 5 years divided by the initial replacement rate… average net replacement rate of unemployment insurance benefits, …","https://www.economic-policy.org/wp-content/uploads/2013/10/de-serres-murtin.pdf","https://scholar.google.com/scholar?q=related:dkYSD-pD0M0J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
68,"A Ebenstein, K Stange","Does inconvenience explain low take‐up? Evidence from unemployment insurance",2010,"Journal of Policy Analysis and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/pam.20481","https://scholar.google.com/scholar?cites=13769475199815036781&as_sdt=2005&sciodt=0,5&hl=en",307,"2022-08-15 21:28:05","","10.1002/pam.20481",NA,NA,NA,NA,NA,NA,68,5.67,34,2,12,"… 23 A two-hour application time reduction is equivalent to a 1 … , a 40 percent replacement rate, and 14 weeks expected duration. … to that derived using our state-clustered standard errors. …","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/64570/20481_ftp.pdf?sequence=1","https://scholar.google.com/scholar?q=related:ba-GjL0AF78J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
13,"A Godøy, K Røed","Unemployment insurance and underemployment",2016,"Labour","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/labr.12066","https://scholar.google.com/scholar?cites=13222998598315759750&as_sdt=2005&sciodt=0,5&hl=en",361,"2022-08-15 21:28:05","","10.1111/labr.12066",NA,NA,NA,NA,NA,NA,13,2.17,7,2,6,"… , statistical inference is seriously limited by large standard errors. Based on Danish data, … maximum benefit duration is 24 months for all workers in the sample, the average spell duration …","https://www.econstor.eu/bitstream/10419/93290/1/dp7913.pdf","https://scholar.google.com/scholar?q=related:hlgZriqHgbcJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
881,"A Han, JA Hausman","Flexible parametric estimation of duration and competing risk models",1990,"Journal of applied Econometrics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.3950050102","https://scholar.google.com/scholar?cites=14114617686925188017&as_sdt=2005&sciodt=0,5&hl=en",366,"2022-08-15 21:28:05","","10.1002/jae.3950050102",NA,NA,NA,NA,NA,NA,881,27.53,441,2,32,"… duration and competing risks specifications. We find an important effect arising from the exhaustion of unemployment insurance … and federal rules which govern benefit duration. l 3 The …","","https://scholar.google.com/scholar?q=related:sRuf-QAy4cMJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
117,"A Holen","Effects of unemployment insurance entitlement on duration and job search outcome",1977,"ILR Review","journals.sagepub.com","https://journals.sagepub.com/doi/pdf/10.1177/001979397703000401","https://scholar.google.com/scholar?cites=10748150115783879190&as_sdt=2005&sciodt=0,5&hl=en",77,"2022-08-15 21:28:05","","10.1177/001979397703000401",NA,NA,NA,NA,NA,NA,117,2.6,117,1,45,"… The coefficient of weekly benefit amount in the earnings equation thus represents both the … via its effect on duration. The coefficient of 8.9 for the weekly benefit amount means that a $10 …","","https://scholar.google.com/scholar?q=related:Firfi5UZKZUJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
21,"A Holen, S Horowitz","Partial unemployment insurance benefits and the extent of partial unemployment",1974,"The journal of human resources","JSTOR","https://www.jstor.org/stable/144698","https://scholar.google.com/scholar?cites=9376147826504285387&as_sdt=2005&sciodt=0,5&hl=en",871,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,21,0.44,11,2,48,"… Partial unemployment insurance benefits are provided in all s … is often the weekly benefit amount which the receive if he … and part-time employment. The former refers to less than full-…","","https://scholar.google.com/scholar?q=related:y7xWcMXEHoIJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
50,"A Holen, SA Horowitz","The effect of unemployment insurance and eligibility enforcement on unemployment",1974,"The Journal of Law and Economics","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/pdf/10.1086/466799","https://scholar.google.com/scholar?cites=2111540857222437805&as_sdt=2005&sciodt=0,5&hl=en",532,"2022-08-15 21:28:05","","10.1086/466799",NA,NA,NA,NA,NA,NA,50,1.04,25,2,48,"… the base period (year) or within the high quarter of the base period. … the average weekly benefit amount 5. claims exhaustions as … through which unemployment insurance liberality can …","","https://scholar.google.com/scholar?q=related:rZt34zizTR0J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
