"","paper_id","reform_id","estimate_id","authors","paper_name","title","year","journal","impact_factor","url","pbd_vs_rr","margin_outcome_identifier","margin_outcome_sample_size","research_design","running_var","reform_size","reform_units","coef_type_nonemp","reg_outcome_nonemp","level_partial_effect_nonemp","raw_coef_nonemp","raw_se_nonemp","implied_elasticity_nonemp","source_nonemp","description_nonemp","coef_type_claimed","reg_outcome_claimed","level_partial_effect_claimed","raw_coef_claimed","raw_se_claimed","implied_elasticity_claimed","source_claimed","description_claimed","sample_size_unique","other_elasticity_nonemp","other_elasticity_details_nonemp","other_elasticity_claimed","other_elasticity_details_claimed","other_elasticities_preferred","estimate_label","include","mean_nonemp_dur","mean_claimed_dur","mean_pbd","mean_rr","pbd_source","rr_source","eyeballed_hazard_mean","eyeballed_hazard_range","admin","sample_year_range","sample_year","sample_country","us_country","sample_state","country_tax_wedge","macro_treatment","ue_contemporaneous","ue_rate_avg_91_21","ue_deviation","estimates_per_study_margin","estimate_study_num","paper_name_long","design_DID","design_RDD_RKD","PBD_indicator","impact_factor_z","ue_measure","elasticity","se","tstat","hazard","ue_measure_nonemp"
"1",1,1,1,"AC Johnston, A Mas","Johnston & Mas '18 JPE","Potential unemployment insurance duration and labor supply: The individual and market-level response to a benefit cut",2018,"Journal of Political Economy",64.337,"https://www.journals.uchicago.edu/doi/abs/10.1086/699973","PBD",NA,NA,"RDD","time","16.0","weeks","level-level","duration",0.275,1.1,0.1658163265,0.42,"Footnote 15","Take midpoint of given confidence interval","level-level","duration",0.449375,"7.19",0.818,0.8943395583,"Table 3 Column 1","Scale causal effect by observed PBD and implied duration","103.0",NA,NA,NA,NA,NA,"Unique","Yes",46.7,36.68,73,0.4086208984,"Rules-based (published pg 2485)","Sample-based, WBA relative to prior quarterly wage (Table 1 Column 2)",0.03,0.03,1,"2013.0",2013,"USA",1,"MO",28.40886,0,7.35833333333333,6.12299382716049,1.23533950617284,1,1,"Johnston & Mas '18 JPE(NA)",0,1,1,0.599229328776407,"nonemp",0.42,0.06331168831022,6.633846154,0,TRUE
"2",1,1,1,"AC Johnston, A Mas","Johnston & Mas '18 JPE","Potential unemployment insurance duration and labor supply: The individual and market-level response to a benefit cut",2018,"Journal of Political Economy",64.337,"https://www.journals.uchicago.edu/doi/abs/10.1086/699973","PBD",NA,NA,"RDD","time","16.0","weeks","level-level","duration",0.275,1.1,0.1658163265,0.42,"Footnote 15","Take midpoint of given confidence interval","level-level","duration",0.449375,"7.19",0.818,0.8943395583,"Table 3 Column 1","Scale causal effect by observed PBD and implied duration","103.0",NA,NA,NA,NA,NA,"Unique","Yes",46.7,36.68,73,0.4086208984,"Rules-based (published pg 2485)","Sample-based, WBA relative to prior quarterly wage (Table 1 Column 2)",0.03,0.03,1,"2013.0",2013,"USA",1,"MO",28.40886,0,7.35833333333333,6.12299382716049,1.23533950617284,1,1,"Johnston & Mas '18 JPE(NA)",0,1,1,0.599229328776407,"claimed",0.8943395583,0.101748227916286,8.789731051,0,FALSE
"3",2,2,1,"A Lichter, A Schiprowski","Lichter & Schiprowski '21 JPubEc","Benefit duration, job search behavior and re-employment",2021,"Journal of Public Economics",37.117,"https://www.sciencedirect.com/science/article/pii/S0047272720301900","PBD",NA,NA,"DID","age","3.0","months","level-level","duration",0.1206666667,10.86,3.381,0.1758704453,"Table 2 Column 6","Scale causal effect by effect per day","level-level","duration",0.2463222222,"22.169",2.633,0.5294089552,"Table 2 Column 4","Scale causal effect by precise daily measures","38587.0",NA,NA,NA,NA,NA,"Unique","Yes",32.93333333,22.33333333,48,0.6,"Rules-based, uniform (abstract)","Rules-based, but up to cap (pg 3)",0.05,0.1,1,"2008.0",2008,"Germany",0,NA,48.09457,0,7.52787506,5.44865136740741,2.07922369259259,1,1,"Lichter & Schiprowski '21 JPubEc(NA)",1,0,1,-0.133211953527516,"nonemp",0.1758704453,0.0547530364178817,3.212067436,0,TRUE
"4",2,2,1,"A Lichter, A Schiprowski","Lichter & Schiprowski '21 JPubEc","Benefit duration, job search behavior and re-employment",2021,"Journal of Public Economics",37.117,"https://www.sciencedirect.com/science/article/pii/S0047272720301900","PBD",NA,NA,"DID","age","3.0","months","level-level","duration",0.1206666667,10.86,3.381,0.1758704453,"Table 2 Column 6","Scale causal effect by effect per day","level-level","duration",0.2463222222,"22.169",2.633,0.5294089552,"Table 2 Column 4","Scale causal effect by precise daily measures","38587.0",NA,NA,NA,NA,NA,"Unique","Yes",32.93333333,22.33333333,48,0.6,"Rules-based, uniform (abstract)","Rules-based, but up to cap (pg 3)",0.05,0.1,1,"2008.0",2008,"Germany",0,NA,48.09457,0,7.52787506,5.44865136740741,2.07922369259259,1,1,"Lichter & Schiprowski '21 JPubEc(NA)",1,0,1,-0.133211953527516,"claimed",0.5294089552,0.0628776119402758,8.419673376,0,FALSE
"5",3,3,1,"A Nekoei, A Weber","Nekoei & Weber '17 AER","Does extending unemployment benefits improve job quality?",2017,"American Economic Review",72.613,"https://www.aeaweb.org/articles?id=10.1257/aer.20150528","PBD",NA,NA,"RDD","age","9.0","weeks","level-level","duration",0.03066666667,1.932,0.526,0.05614646905,"Table 2 Column 1 Row 1","Scale causal effect by duration around RDD cutoff",NA,NA,NA,NA,NA,NA,NA,NA,"1589178.0",NA,NA,NA,NA,NA,"Unique","Yes",16.38571429,NA,30,0.55,"Rules-based, uniform (published pg 530)","Rules-based, subject to min and max (published pg 530)",0.2,0.04,1,"1980-2011",1995,"Austria",0,NA,47.81829,0,3.69978496,3.73936275528302,-0.0395777952830185,1,1,"Nekoei & Weber '17 AER(NA)",0,1,1,0.821921615784022,"nonemp",0.05614646905,0.0152862539971855,3.673003802,0,TRUE
"6",4,4,1,"B Eugster","Eugter '15 SJES","Effects of a higher replacement rate on unemployment durations, employment, and earnings",2015,"Swiss Journal of Economics and Statistics",2.443,"https://link.springer.com/article/10.1007/BF03399412","RR",NA,NA,"DID","prior earnings","0.0588","RR ppt","log-level","duration",0.1480935374,0.031,0.015,0.3893979592,"Table 4 Column 1","Scale causal effect by pre-reform average",NA,NA,NA,NA,NA,NA,NA,NA,"107438",NA,NA,NA,NA,NA,"Unique","Yes",28.09,NA,57.14285714,0.7386,"Rules-based, max PBD in prime-age sample used in paper (footnote 6)","Sample-based, pre-period treatment + control avg (Table 1)",NA,NA,1,"2003.0",2003,"Switzerland",0,NA,22.79827,0,4.12,3.94032258064516,0.179677419354839,1,1,"Eugter '15 SJES(NA)",1,0,0,-1.0662269800744,"nonemp",0.3893979592,0.188418367324449,2.066666667,0,TRUE
"7",5,5,1,"BD Meyer, WKC Mok","Meyer & Mok '14 NTJ","A short review of recent evidence on the disincentive effects of unemployment insurance and new evidence from New York State",2014,"National Tax Journal",11.869,"https://www.journals.uchicago.edu/doi/abs/10.17310/ntj.2014.1.07","RR",NA,NA,"DID","prior earnings","Varies with prior income","WBA","log-log","hazard",NA,-0.3308,0.06,0.3308,"Table 3 Column 1","negative of hazard effect",NA,NA,NA,NA,NA,NA,NA,NA,"147428.0",0.1915,"Simulation for time-varying hazards listed (Table 2 Column 1)",0.1629,"Simulation for time-varying hazards (Table 2 Column 1)",1,"Unique","Yes",NA,16.027,26,0.269,"Rules-based (published pg 227)","Sample-based, counterfactual RR for post-treatment group (Table A2 Column 2)",0.04,0.04,1,"1989.0",1989,"USA",1,"NY",28.40886,0,5.25833333333333,6.12299382716049,-0.86466049382716,1,1,"Meyer & Mok '14 NTJ(NA)",1,0,0,-0.812590259758576,"nonemp",0.1915,0.0347339782366828,5.513333333,1,TRUE
"8",6,6,1,"C Belzil","Belzil '01 JAE","Unemployment insurance and subsequent job duration: Job matching versus unobserved heterogeneity",2001,"Journal of Applied Econometrics",41.17,"https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.618","RR",NA,NA,"cross-sectional",NA,"Prior employment","WBA","log-log","hazard",0.1857142857,-0.2834,0.09415282392,0.2834,"Table 2 Column 1 for hazard. Text (pg 634) for partial effect from simulation.","negative of hazard effect",NA,NA,NA,NA,NA,NA,NA,NA,"909.0",0.19,"Simulation for time-varying hazards listed applied to 25 week PBD (Table 3 Column 1)",NA,NA,1,"Unique","Yes",14,NA,33,0.5083333333,"Sample-based, non-uniform (Table 1)","Sample-based, non-uniform (Table 1 calculation)",NA,NA,1,"1976-1978",1977,"Canada",0,NA,31.45074,0,8.05833333,7.82561728481481,0.232716045185185,1,1,"Belzil '01 JAE(NA)",0,0,0,-0.0241530072682286,"nonemp",0.19,0.0631229235880399,3.01,1,TRUE
"9",7,7,1,"C Landais","Landais '15 AEJ:EP","Assessing the welfare effects of unemployment benefits using the regression kink design",2015,"American Economic Journal: Economic Policy",33.721,"https://www.aeaweb.org/articles?id=10.1257/pol.20130248","RR",NA,NA,"RKD","prior earnings","Kink with HQW","WBA","level-level","duration",NA,0.291,0.071,0.291,"Table 4 Column 1 Row 2","Given","log-log","duration",0.2155022273,"0.73",0.11,0.73,"Table 4 Column 1 Row 1","Given","6061.0",0.32,"Average over 26 elasticities from many schedules in 5 states over various periods (Column 2 in Tables 2, B2, B3, B4, B5)",NA,NA,1,"Applies to both PBD and RR","Yes",27.9,16.2,29.12492264,0.5487646298,"Sample-based, non-uniform (Table 1)","Sample-based, non-uniform (Table 1)",NA,NA,1,"1980.0",1980,"USA",1,"WA",28.40886,0,7.175,6.12299382716049,1.05200617283951,1,1,"Landais '15 AEJ:EP(NA)",0,1,0,-0.224592210496808,"nonemp",0.32,0.0780756013802048,4.098591549,0,TRUE
"10",7,7,1,"C Landais","Landais '15 AEJ:EP","Assessing the welfare effects of unemployment benefits using the regression kink design",2015,"American Economic Journal: Economic Policy",33.721,"https://www.aeaweb.org/articles?id=10.1257/pol.20130248","RR",NA,NA,"RKD","prior earnings","Kink with HQW","WBA","level-level","duration",NA,0.291,0.071,0.291,"Table 4 Column 1 Row 2","Given","log-log","duration",0.2155022273,"0.73",0.11,0.73,"Table 4 Column 1 Row 1","Given","6061.0",0.32,"Average over 26 elasticities from many schedules in 5 states over various periods (Column 2 in Tables 2, B2, B3, B4, B5)",NA,NA,1,"Applies to both PBD and RR","Yes",27.9,16.2,29.12492264,0.5487646298,"Sample-based, non-uniform (Table 1)","Sample-based, non-uniform (Table 1)",NA,NA,1,"1980.0",1980,"USA",1,"WA",28.40886,0,7.175,6.12299382716049,1.05200617283951,1,1,"Landais '15 AEJ:EP(NA)",0,1,0,-0.224592210496808,"claimed",0.73,0.110000000006027,6.636363636,0,FALSE
