Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"A Ahammer, A Packham","Dying to work: Effects of unemployment insurance on health",2020,"","nber.org","https://www.nber.org/papers/w27267","https://scholar.google.com/scholar?cites=3575865978823749599&as_sdt=2005&sciodt=0,5&hl=en",90,"2022-08-15 21:28:05","","","","",,,,,11,5.50,6,2,2,"… that an extension in unemployment insurance (UI) duration increases unemployment length and … For men, we find that extending UI benefit duration increases the likelihood of a cardiac …","https://www.nber.org/system/files/working_papers/w27267/w27267.pdf","https://scholar.google.com/scholar?q=related:368xeCkHoDEJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
20,"A Alba, JM Arranz, F Muñoz-Bullón","Re-employment probabilities of unemployment benefit recipients",2012,"Applied Economics","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/00036846.2011.579067","https://scholar.google.com/scholar?cites=18048093170604344785&as_sdt=2005&sciodt=0,5&hl=en",650,"2022-08-15 21:28:05","","10.1080/00036846.2011.579067","","",,,,,20,2.00,7,3,10,"… time of exhaustion of benefits. However, this happens only for workers receiving Unemployment Insurance … In particular, the effect of entitlement benefit duration on the hazard rate out of …","https://www.tandfonline.com/doi/pdf/10.1080/00036846.2011.579067","https://scholar.google.com/scholar?q=related:0YUGox21d_oJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
23,"A Asenjo, C Pignatti","Unemployment insurance schemes around the world: Evidence and policy options",2019,"","sarkoups.free.fr","http://sarkoups.free.fr/ilo723778.pdf","https://scholar.google.com/scholar?cites=16876979897195376599&as_sdt=2005&sciodt=0,5&hl=en",225,"2022-08-15 21:28:05","BOOK","","","",,,,,23,7.67,12,2,3,"… At the same time, we find that the replacement rate of unemployment benefits as well as their maximum duration are generally lower in emerging than advanced economies. Finally, job-…","http://sarkoups.free.fr/ilo723778.pdf","https://scholar.google.com/scholar?q=related:1y-9ZcwTN-oJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
99,"A Barr, S Turner","Out of work and into school: Labor market policies and college enrollment during the Great Recession",2015,"Journal of Public Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272714002552","https://scholar.google.com/scholar?cites=2762075605929279906&as_sdt=2005&sciodt=0,5&hl=en",598,"2022-08-15 21:28:05","","","","",,,,,99,14.14,50,2,7,"… impact of the length of unemployment insurance duration on the … , using the benefit duration available to individuals at the … We combine employment status and unemployment duration …","","https://scholar.google.com/scholar?q=related:osEvJiHdVCYJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
55,"A Bassanini, D Venn","The Impact of Labour Market Policies on Productivity in OECD Countries.",2008,"International Productivity Monitor","csls.ca","http://www.csls.ca/ipm/17/IPM-17-bassanini.pdf","https://scholar.google.com/scholar?cites=18149002888173808252&as_sdt=2005&sciodt=0,5&hl=en",879,"2022-08-15 21:28:05","PDF","","","",,,,,55,3.93,28,2,14,"… terms of either duration, replacement rate or both) may provide a buffer of time and resources to … increase in average replacement rate, unemployment benefit duration and initial benefit …","http://www.csls.ca/ipm/17/IPM-17-bassanini.pdf","https://scholar.google.com/scholar?q=related:fGojIfg13vsJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
17,"A Bell, TJ Hedin, G Schnorr…","An analysis of unemployment insurance claims in California during the COVID-19 pandemic",2020,"California Policy Lab …","capolicylab.org","https://www.capolicylab.org/wp-content/uploads/2021/12/June-30th-Analysis-of-Unemployment-Insurance-Claims-in-California-During-the-COVID-19-Pandemic.pdf","https://scholar.google.com/scholar?cites=3101445663124912387&as_sdt=2005&sciodt=0,5&hl=en",280,"2022-08-15 21:28:05","PDF","","","",,,,,17,8.50,4,4,2,"… to 50% of their average weekly earnings in a base period, up to a maximum of $450 per week.The average weekly benefit amount (WBA) for initial claimants who filed at the end of May …","https://www.capolicylab.org/wp-content/uploads/2021/12/June-30th-Analysis-of-Unemployment-Insurance-Claims-in-California-During-the-COVID-19-Pandemic.pdf","https://scholar.google.com/scholar?q=related:A3m8AGaMCisJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
2,"A Bell, TJ Hedin, P Mannino, R Moghadam, G Schnorr…","Disparities in Access to Unemployment Insurance During the COVID-19 Pandemic: Lessons from US and California Claims Data",2021,"","capolicylab.org","https://www.capolicylab.org/wp-content/uploads/2022/02/Disparities-in-Access-to-UI-Insurance-During-COVID-19-Pandemic.pdf","https://scholar.google.com/scholar?cites=10120381896121282669&as_sdt=2005&sciodt=0,5&hl=en",467,"2022-08-15 21:28:05","PDF","","","",,,,,2,2.00,0,6,1,"… PBD. The main reason for avoiding using DOL data to calculate cohort exhaustion rate is the substantial disparities in PBD, … unemployment duration increases, the benefit duration also …","https://www.capolicylab.org/wp-content/uploads/2022/02/Disparities-in-Access-to-UI-Insurance-During-COVID-19-Pandemic.pdf","https://scholar.google.com/scholar?q=related:bXCa5bbRcowJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
1,"A Bell, TJ Hedin, P Mannino, R Moghadam…","Estimating the Disparate Cumulative Impact of the Pandemic in Administrative Unemployment Insurance Data",2022,"AEA Papers and …","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/pandp.20221008","https://scholar.google.com/scholar?cites=10271289598398612999&as_sdt=2005&sciodt=0,5&hl=en",194,"2022-08-15 21:28:05","","","","",,,,,1,1.00,0,5,1,"… benefit duration well over 26 weeks. In regular economic times, considering mean total UI duration or … 7 It is also the case that not all claimants qualify for the maximum benefit duration, …","",""
11,"A Bindler","Still unemployed, what next? Crime and unemployment duration",2016,"","gupea.ub.gu.se","https://gupea.ub.gu.se/handle/2077/44450","https://scholar.google.com/scholar?cites=1354017168697951198&as_sdt=2005&sciodt=0,5&hl=en",548,"2022-08-15 21:28:05","","","","",,,,,11,1.83,11,1,6,"… the national average duration of persons … unemployment insurance as well as EUC08 extended benefits. Clearly, the actual benefit duration is shorter than the potential benefit duration. …","https://gupea.ub.gu.se/bitstream/handle/2077/44450/gupea_2077_44450_1.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:3oMF6HBvyhIJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
98,"A Björklund","Unemployment and income distribution: time-series evidence from Sweden",1991,"The Scandinavian Journal of Economics","JSTOR","https://www.jstor.org/stable/3440187","https://scholar.google.com/scholar?cites=5544843596327457430&as_sdt=2005&sciodt=0,5&hl=en",568,"2022-08-15 21:28:05","","","","",,,,,98,3.16,98,1,31,"… For a long time, Swedish politicians have been devoted to keeping unemployment at low … Further, the Swedish unemployment insurance system replaces only about 70 per cent of …","","https://scholar.google.com/scholar?q=related:lpIyft8980wJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
