"","LOCATION","Country","FAMILY","Family.type","DURATION","Unemployment.duration..months.","EARNINGS","Previous.in.work.earnings","SATOPUPS","Include.social.assistance.benefits","HBTOPUPS","Include.housing.benefits","TIME","Year","Value","Flag.Codes","Flags"
"1","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2001,2001,35,NA,NA
"2","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2002,2002,34,NA,NA
"3","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2003,2003,34,NA,NA
"4","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2004,2004,33,NA,NA
"5","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2005,2005,32,NA,NA
"6","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2006,2006,32,NA,NA
"7","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2007,2007,31,NA,NA
"8","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2008,2008,30,NA,NA
"9","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2009,2009,30,NA,NA
"10","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2010,2010,29,NA,NA
"11","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2011,2011,28,NA,NA
"12","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2012,2012,28,NA,NA
"13","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2013,2013,28,NA,NA
"14","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2014,2014,28,NA,NA
"15","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2015,2015,28,NA,NA
"16","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2016,2016,28,NA,NA
"17","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2017,2017,28,NA,NA
"18","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2018,2018,27,NA,NA
"19","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2019,2019,27,NA,NA
"20","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2020,2020,27,NA,NA
"21","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2021,2021,31,NA,NA
"22","AUS","Australia","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2022,2022,28,NA,NA
"23","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2001,2001,66,NA,NA
"24","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2002,2002,65,NA,NA
"25","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2003,2003,64,NA,NA
"26","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2004,2004,64,NA,NA
"27","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2005,2005,63,NA,NA
"28","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2006,2006,62,NA,NA
"29","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2007,2007,62,NA,NA
"30","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2008,2008,61,NA,NA
"31","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2009,2009,60,NA,NA
"32","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2010,2010,60,NA,NA
"33","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2011,2011,55,NA,NA
"34","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2012,2012,55,NA,NA
"35","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2013,2013,55,NA,NA
"36","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2014,2014,55,NA,NA
"37","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2015,2015,55,NA,NA
"38","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2016,2016,55,NA,NA
"39","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2017,2017,55,NA,NA
"40","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2018,2018,55,NA,NA
"41","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2019,2019,55,NA,NA
"42","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2020,2020,55,NA,NA
"43","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2021,2021,55,NA,NA
"44","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2022,2022,56,NA,NA
"45","AUT","Austria","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2023,2023,55,NA,NA
"46","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2001,2001,56,NA,NA
"47","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2002,2002,56,NA,NA
"48","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2003,2003,56,NA,NA
"49","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2004,2004,53,NA,NA
"50","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2005,2005,52,NA,NA
"51","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2006,2006,49,NA,NA
"52","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2007,2007,49,NA,NA
"53","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2008,2008,49,NA,NA
